"time","M","Y","Z","I"
363,676.914,43.132,13.2399,349
364,679.423,43.372,13.2685,351
365,680.781,43.5962,13.2882,351
366,679.303,43.7601,13.3065,349
367,690.572,43.9994,13.3206,350
368,694.415,44.2537,13.3298,351
369,679.874,44.3517,13.3422,349
370,690.186,44.5648,13.3396,353
371,671.568,44.6477,13.3798,355
372,659.311,44.6086,13.4195,353
373,659.98,44.5785,13.4663,353
374,657.882,44.5115,13.5353,351
375,667.694,44.4833,13.6106,348
376,661.224,44.4251,13.681,349
377,655.402,44.3194,13.7324,348
378,643.862,44.1559,13.8075,349
379,651.475,44.0388,13.8873,347
380,650.228,43.8883,13.918,344
381,654.505,43.7587,13.9849,342
382,647.555,43.5824,14.0109,341
383,648.499,43.4191,13.9987,340
384,650.249,43.2603,13.9892,338
385,665.324,43.1962,13.9682,336
386,665.392,43.1267,13.9593,335
387,660.053,43.0284,13.9411,335
388,659.747,42.9007,13.9079,332
389,663.973,42.8149,13.8566,332
390,662.375,42.7149,13.8199,331
391,664.538,42.6273,13.7726,330
392,658.384,42.5581,13.732,334
393,656.446,42.4831,13.6766,334
394,665.501,42.4773,13.6254,334
395,668.251,42.5035,13.5755,335
396,663.526,42.4821,13.5554,334
397,666.473,42.4703,13.5336,333
398,661.026,42.4482,13.5028,335
399,669.623,42.4996,13.4627,336
400,673.761,42.5736,13.4358,336
401,675.685,42.6529,13.4044,336
402,691.816,42.7939,13.3769,333
403,694.635,42.9389,13.3552,333
404,680.971,42.9763,13.3316,333
405,679.474,43.0257,13.3298,335
406,674.527,43.0749,13.338,338
407,666.474,43.0765,13.3313,339
408,664.627,43.0271,13.3276,336
409,668.364,43.0467,13.3207,339
410,678.928,43.1109,13.3368,337
411,681.235,43.2099,13.3601,339
412,691.411,43.3948,13.3849,341
413,693.37,43.5735,13.4292,341
414,685.233,43.6771,13.4747,341
415,700.41,43.8476,13.4864,339
416,709.569,44.0358,13.5019,337
417,698.912,44.1314,13.5174,337
418,691.121,44.2031,13.5178,340
419,694.009,44.2607,13.5024,338
420,681.308,44.2252,13.5085,338
421,677.977,44.1836,13.5286,339
422,675.879,44.1191,13.5597,338
423,682.091,44.091,13.6177,337
424,665.182,43.9378,13.6738,336
425,658.964,43.7209,13.7063,333
426,665.068,43.5809,13.7599,334
427,665.161,43.4563,13.8189,334
428,676.945,43.4247,13.8489,334
429,684.85,43.4499,13.8714,334
430,682.065,43.4535,13.8895,334
431,679.559,43.4528,13.8783,335
432,670.103,43.4136,13.8653,337
433,670.593,43.3819,13.845,337
434,664.733,43.3009,13.8362,336
435,666.66,43.2416,13.7881,336
436,669.294,43.2065,13.7201,336
437,667.165,43.1861,13.6761,338
438,673.348,43.1974,13.637,337
439,669.013,43.1651,13.6271,336
440,666.012,43.0904,13.635,334
441,656.111,43.0067,13.6362,338
442,657.1,42.9511,13.636,339
443,657.99,42.895,13.6237,338
444,665.991,42.887,13.6137,337
445,654.292,42.7999,13.5883,337
446,650.963,42.6994,13.5697,337
447,659.666,42.6941,13.5587,339
448,659.4,42.6749,13.5523,338
449,660.96,42.7189,13.5558,342
450,651.564,42.7056,13.5457,343
451,657.507,42.7475,13.5222,344
452,679.057,42.9091,13.4959,342
453,672.351,42.9814,13.4785,340
454,680.716,43.1167,13.4609,341
455,675.644,43.1768,13.4584,339
456,671.98,43.1668,13.4311,336
457,671.382,43.1667,13.3995,337
458,673.544,43.1814,13.3979,337
459,680.889,43.2576,13.3918,338
460,674,43.2914,13.4057,339
461,669.6,43.3042,13.4015,340
462,665.64,43.2884,13.4146,340
463,656.676,43.2,13.4653,339
464,666.609,43.1892,13.488,339
465,665.648,43.173,13.5305,339
466,671.083,43.2214,13.5493,341
467,654.375,43.1243,13.5462,339
468,655.537,43.0705,13.5462,341
469,652.984,43.0048,13.5508,341
470,647.985,42.8992,13.5747,340
471,642.587,42.7677,13.5853,340
472,639.528,42.6291,13.5893,340
473,645.775,42.5359,13.5844,339
474,644.198,42.4663,13.5566,341
475,661.678,42.55,13.5532,343
476,655.81,42.6091,13.5481,345
477,664.029,42.7321,13.5633,346
478,648.026,42.7668,13.5329,349
479,651.624,42.8109,13.516,348
480,666.561,42.9301,13.4954,346
481,660.205,42.9921,13.4622,346
482,661.685,43.0705,13.421,347
483,653.116,43.0928,13.3774,348
484,649.905,43.0777,13.3482,347
485,645.214,43.0067,13.3264,345
486,644.593,42.9512,13.3527,346
487,644.033,42.9099,13.3712,347
488,646.23,42.8392,13.4098,343
